Date,Open,High,Low,Close,    Volume
7/28/20,1630,1680,1630,1670,5491152
7/29/20,1690,1690,1633,1672,5074843
7/30/20,1671.2,1700.59,1670.5,1680,3837304
7/31/20,1685,1705,1646,1678.18,4068474
8/3/20,1686.88,1696.58,1660,1668,3466114
8/4/20,1675,1682.99,1660,1669.99,3194051
8/5/20,1662.09,1673.09,1643.31,1668,2552169
8/6/20,1670,1674.03,1630,1637.96,3264878
8/7/20,1644.77,1649.67,1598.5,1631,3424205
8/10/20,1627.97,1644.96,1608.11,1633.99,2362354
8/11/20,1640,1666.43,1640,1642.51,3581818
8/12/20,1633,1641,1605.25,1626.95,2793392
8/13/20,1630,1638.88,1609,1635,2054134
8/14/20,1639.9,1665.7,1631,1661,3765318
8/17/20,1674,1704.35,1670,1690,4357201
8/18/20,1697.38,1720,1691,1705,3042281
8/19/20,1700,1717,1682.99,1687,2691498
8/20/20,1674,1679,1656,1664,2238233
8/21/20,1673,1698,1671,1676,2508241
8/24/20,1700,1708,1691.01,1696.35,3093344
8/25/20,1704.8,1746.78,1698.63,1727,4187249
8/26/20,1734,1745,1715.02,1727,2621573
8/27/20,1731.99,1733.98,1705,1731,2263553
8/28/20,1731,1764,1721.5,1757,4229962
8/31/20,1770.58,1816,1770.58,1786.5,4781036
9/1/20,1792,1802,1775.01,1801.98,3163992
9/2/20,1825,1828,1770,1795,3200929
9/3/20,1795,1812,1779.7,1793,3043735
9/4/20,1766,1776.99,1746,1770,3085796
9/7/20,1760,1777.99,1703.97,1723.5,3111202
9/8/20,1732,1737.8,1677.07,1711.4,3447238
9/9/20,1699.67,1711,1680.04,1688,2596355
9/10/20,1703.74,1720,1700,1705.8,2477833
9/11/20,1688,1736,1688,1733,3108800
9/14/20,1745,1769,1730.58,1766,3105601
9/15/20,1769.99,1769.99,1747.75,1760,2082087
9/16/20,1760,1764.81,1719,1725.1,2251598
9/17/20,1700,1700,1658,1670.52,6367985
9/18/20,1665,1695,1635.01,1695,4720140
9/21/20,1692.76,1692.76,1666.66,1666.8,2244407
9/22/20,1650,1686.98,1650,1665.69,2326547
9/23/20,1635,1666.01,1621.02,1649.98,3572552
9/24/20,1635.97,1658.88,1626.8,1629.32,3005078
9/25/20,1630,1650,1625,1635.11,2258296
9/28/20,1635.19,1668.5,1635.19,1661,2423222
9/29/20,1669.33,1669.4,1652.3,1652.3,1743078
9/30/20,1660,1691.9,1660,1668.5,2708781
10/9/20,1692,1706.42,1688,1696,3423988
10/12/20,1700,1750.61,1700,1750.61,4372904
10/13/20,1750.62,1750.62,1735,1739,2294389
10/14/20,1740,1746.98,1726,1729,2048139
10/15/20,1721.13,1735,1721,1725,1620436
10/16/20,1725,1734.58,1703,1712,1737738
10/19/20,1725,1733.98,1691.9,1699,1922632
10/20/20,1699.99,1734.97,1695,1734,2773493
10/21/20,1734.1,1742.15,1723,1733.33,1890137
10/22/20,1730,1745,1715.51,1742.5,2248087
10/23/20,1740.78,1747.59,1714,1715.33,1929169
10/26/20,1619,1662.92,1600,1643,6601529
10/27/20,1643,1644,1616.12,1625,4394440
10/28/20,1626,1677,1625.08,1664.81,3463653
10/29/20,1654.84,1708,1647,1676,3937376
10/30/20,1678,1696,1665,1670.02,2605545
11/2/20,1675,1695,1672,1674.01,2106643
11/3/20,1684.99,1705.9,1675.5,1695,2349749
11/4/20,1700,1704,1685,1699.58,1644371
11/5/20,1717,1732.48,1712.1,1721.9,2352414
11/6/20,1730.55,1731.59,1690,1700.62,2305153
11/9/20,1701.38,1750.68,1700.62,1742.57,4146970
11/10/20,1752.92,1764.48,1736,1745,3018944
11/11/20,1745,1777.5,1731,1731.35,3485073
11/12/20,1730.01,1750,1722.27,1734.79,2347309
11/13/20,1724,1728.88,1691,1705,2815548
11/16/20,1711,1730.05,1697.26,1730.05,3061349
11/17/20,1740,1742.35,1701.07,1715.8,2522403
11/18/20,1715,1720.53,1683.16,1693.65,3517895
11/19/20,1684.5,1725,1680.6,1720.19,2781576
11/20/20,1720,1736,1712.65,1719.96,2187466
11/23/20,1771.01,1809.9,1771.01,1790.21,6663724
11/24/20,1769.99,1782.5,1751.47,1763.5,3246536
11/25/20,1761.5,1768.88,1724,1726.88,2822632
11/26/20,1726,1739.99,1725.18,1734.39,2322830
11/27/20,1732.66,1740.03,1718,1737.9,2156861
11/30/20,1735,1738.9,1713.91,1713.91,3194007
12/1/20,1726,1738.99,1720.01,1737,2819620
12/2/20,1746,1749,1731,1738.01,2357169
12/3/20,1738.01,1755.66,1732.1,1749,2950578
12/4/20,1752,1800.1,1752,1793.11,6249119
12/7/20,1802.7,1840.39,1800.55,1812.4,5833133
12/8/20,1815,1875,1813,1850,6145400
12/9/20,1865.95,1866,1839,1840,3115212
12/10/20,1840,1849.77,1828,1832.9,3265354
12/11/20,1834.78,1837.32,1804.81,1820,3077579
12/14/20,1827.77,1829.98,1815,1829,3305200
12/15/20,1833.5,1837.22,1805,1816.01,2960497
12/16/20,1830.5,1845.67,1820.21,1840,3215016
12/17/20,1845.5,1868,1840,1865.51,3603064
12/18/20,1851.81,1869.01,1841.08,1845,2707698
12/21/20,1840,1851.23,1837.6,1842.5,3069672
12/22/20,1849.97,1898.99,1842.51,1881,4065060
12/23/20,1897.99,1906.2,1821.02,1841.65,4770609
12/24/20,1818,1858.88,1795.02,1830.34,3785714
12/25/20,1802.99,1847,1800,1830,2308805
12/28/20,1826.6,1888.8,1826.05,1873,3008037
12/29/20,1873,1886.8,1855,1867,2286759
12/30/20,1870,1933,1869.99,1933,3445210
12/31/20,1941,1998.98,1939,1998,3886007
1/4/21,1999.98,2004.99,1983.81,1997,4351400
1/5/21,1990,2059.45,1982.46,2059.45,5211605
1/6/21,2064.8,2125,2036.03,2100,4741020
1/7/21,2097,2140,2075,2140,3793139
